model,lead_hours,mae,rmse,bias,n
pred_persist_27d,18,99.34192672998643,132.03190272754603,-24.812754409769337,1474
pred_persist_27d,19,100.2133152173913,132.76697877173342,-24.971467391304348,1472
pred_persist_27d,20,101.21632653061225,133.5479785883486,-25.076190476190476,1470
pred_persist_27d,21,102.23485364193328,134.39726274806682,-25.095302927161335,1469
pred_persist_27d,22,103.1994554118448,135.1825631929752,-24.98842750170184,1469
pred_persist_27d,23,104.2069434989789,135.93124338120847,-24.818243703199457,1469
pred_persist_27d,24,105.15599455040872,136.6480816875335,-24.759536784741144,1468
pred_persist_27d,25,105.91126279863481,137.09302290170584,-24.678498293515357,1465
pred_persist_27d,26,106.58071135430916,137.49503411005344,-24.603967168262653,1462
pred_persist_27d,27,107.20821917808219,137.98384856842276,-24.40958904109589,1460
pred_persist_27d,28,107.88545953360769,138.5379987292538,-24.220164609053498,1458
pred_persist_27d,29,108.52335164835165,139.05923613282994,-24.0260989010989,1456
pred_persist_27d,30,109.15818431911967,139.50978233537145,-23.89821182943604,1454
pred_persist_27d,31,109.77823691460055,139.98578735413471,-23.65840220385675,1452
pred_persist_27d,32,110.5093039283253,140.71001653252844,-23.682288077188147,1451
pred_persist_27d,33,111.13379310344827,141.40442855085234,-23.72689655172414,1450
pred_persist_27d,34,111.74810213940648,142.09231391204045,-23.761904761904763,1449
pred_persist_27d,35,112.271408839779,142.70163354169992,-23.810082872928177,1448
pred_persist_27d,36,112.72011057360055,143.3513764806885,-23.89080856945404,1447
pred_persist_27d,37,113.31258644536653,144.04716743263828,-23.937759336099585,1446
pred_persist_27d,38,113.85121107266436,144.66706557330767,-23.912110726643597,1445
pred_persist_27d,39,114.3393351800554,145.23815097492448,-23.92382271468144,1444
pred_persist_27d,40,114.6008316008316,145.6073546648717,-23.954954954954953,1443
pred_persist_27d,41,114.85575589459084,145.9241676032704,-23.9625520110957,1442
pred_persist_27d,42,115.1027064538515,146.28193524886342,-23.94378903539209,1441
pred_persist_27d,43,115.43402777777777,146.61975338723406,-23.922916666666666,1440
pred_persist_27d,44,115.72411396803335,146.96602974340925,-23.85337039610841,1439
pred_persist_27d,45,116.03477051460362,147.3095526825868,-23.79694019471488,1438
pred_persist_27d,46,116.3409881697982,147.66943843604437,-23.695198329853863,1437
pred_persist_27d,47,116.75208913649026,148.0374773748894,-23.54317548746518,1436
pred_persist_27d,48,117.04738675958188,148.46642999761573,-23.471080139372823,1435
pred_persist_27d,49,117.2887029288703,148.76613398901063,-23.396094839609486,1434
pred_persist_27d,50,117.50174459176553,148.9632466367776,-23.293789253314724,1433
pred_persist_27d,51,117.64594972067039,149.12969356500835,-23.24650837988827,1432
pred_persist_27d,52,117.69392033542977,149.28610457864303,-23.144654088050313,1431
pred_persist_27d,53,117.87552447552447,149.4785481720918,-23.032167832167833,1430
pred_persist_27d,54,117.99370188943317,149.71610877267747,-22.96920923722883,1429
pred_persist_27d,55,118.14775910364146,150.0484678931672,-22.887254901960784,1428
pred_persist_27d,56,118.49194113524878,150.4720626089387,-22.845129642606867,1427
pred_persist_27d,57,118.62552594670407,150.89996500659032,-22.805049088359045,1426
pred_persist_27d,58,118.72842105263157,151.3223490874145,-22.776140350877192,1425
pred_persist_27d,59,118.91994382022472,151.71326814203522,-22.73174157303371,1424
pred_persist_27d,60,119.09557273366129,152.0631757419436,-22.724525650035137,1423
pred_persist_27d,61,119.23066104078762,152.3947655169364,-22.654008438818565,1422
pred_persist_27d,62,119.42575650950035,152.66163086958272,-22.574243490499647,1421
pred_persist_27d,63,119.54929577464789,152.88674349997834,-22.514084507042252,1420
pred_persist_27d,64,119.70754052149401,153.14914405301766,-22.486962649753348,1419
pred_persist_27d,65,120.01198871650212,153.4922780064729,-22.529619181946405,1418
pred_persist_27d,66,120.38814396612561,153.87375793286225,-22.58997882851094,1417
pred_persist_27d,67,120.69138418079096,154.27885595725755,-22.60946327683616,1416
pred_persist_27d,68,121.10318021201414,154.70421567071065,-22.625441696113075,1415
pred_persist_27d,69,121.495756718529,155.12243419253105,-22.67680339462518,1414
pred_persist_27d,70,121.93276716206653,155.5473476249252,-22.769285208775656,1413
pred_persist_27d,71,122.29107648725213,155.9871812304309,-22.888810198300284,1412
pred_persist_27d,72,122.66123316796597,156.46393561042896,-22.937632884479093,1411
